,Wavelength,Luminosity
273,9686.637283866905,1.5565466059368554e+38
274,9668.374746205162,1.611905764134766e+38
275,9650.180940892642,1.6763005567781862e+38
276,9632.055480639568,1.744960160567149e+38
277,9613.997981060424,1.811606641695194e+38
278,9596.008060646773,1.876251404770901e+38
279,9578.085340740385,1.9445284996363822e+38
280,9560.229445506693,2.0260762237841017e+38
281,9542.44000190849,2.1212155160889235e+38
282,9524.71663967997,2.2242350435041842e+38
283,9507.05899130104,2.3363806310421017e+38
284,9489.466691971911,2.4421285824761694e+38
285,9471.939379587971,2.5418414053538487e+38
286,9454.476694714947,2.634665820327153e+38
287,9437.078280564338,2.7243623153813687e+38
288,9419.743782969103,2.811357488307227e+38
289,9402.472850359645,2.8946797079373872e+38
290,9385.265133740028,2.9738916448633247e+38
291,9368.120286664482,3.0551927828141413e+38
292,9351.037965214138,3.127334968317767e+38
293,9334.017827974052,3.1958324074199775e+38
294,9317.059536010434,3.2629758186029574e+38
295,9300.162752848175,3.328291235967062e+38
296,9283.32714444857,3.3911511008694615e+38
297,9266.552379187324,3.4565328967755296e+38
298,9249.838127832763,3.5212976752046345e+38
299,9233.184063524306,3.465399548629877e+38
300,9216.589861751152,3.4000476620948128e+38
301,9200.055200331202,3.3833947917896387e+38
302,9183.57975939021,3.3311369193107872e+38
303,9167.163221341156,3.29546917337633e+38
304,9150.805270863837,3.1684586486964307e+38
305,9134.505594884677,2.961248576374077e+38
306,9118.263882556761,2.805020398067635e+38
307,9102.079825240067,2.6689131918167913e+38
308,9085.953116481918,2.5717469939283623e+38
309,9069.883451997643,2.594769182860916e+38
310,9053.870529651425,2.709478556827245e+38
311,9037.91404943739,2.850762170521121e+38
312,9022.013713460845,2.975769017264452e+38
313,9006.169225919755,3.0987583485242458e+38
314,8990.380293086399,3.2093915836219622e+38
315,8974.646623289209,3.3275674800704948e+38
316,8958.967926894822,3.448457873788967e+38
317,8943.343916290301,3.285655310334498e+38
318,8927.774305865549,3.0085765316127385e+38
319,8912.2588119959,3.0726377106874896e+38
320,8896.79715302491,3.176926150925774e+38
321,8881.389049247302,3.2786393840439247e+38
322,8866.0342228921,3.3682723376295607e+38
323,8850.732398105944,3.3550120788599014e+38
324,8835.483300936561,3.290102070340868e+38
325,8820.286659316427,3.353505198916799e+38
326,8805.142203046578,3.3756162282542113e+38
327,8790.0496637806,3.3474846163993164e+38
328,8775.008775008775,3.2983612647249733e+38
329,8760.019272042398,3.199986455547081e+38
330,8745.080891998252,2.9582480713856817e+38
331,8730.19337378323,2.7531441392253092e+38
332,8715.356458079135,2.7139956272247416e+38
333,8700.56988732762,2.7498820177460297e+38
334,8685.833405715279,2.7855473361543303e+38
335,8671.146759158899,2.820982216518379e+38
336,8656.509695290859,2.8567322889644326e+38
337,8641.92196344467,2.8929440218086283e+38
338,8627.383314640669,2.9292775505367257e+38
339,8612.893501571853,2.9581064917449846e+38
340,8598.452278589853,2.9798390504724106e+38
341,8584.05940169106,2.958780761099544e+38
342,8569.714628502872,2.8262131757002657e+38
343,8555.417718270095,2.6670054980207035e+38
344,8541.168431841475,2.4819928648685338e+38
345,8526.966531656362,2.319965502970634e+38
346,8512.811781731505,2.2731376853656354e+38
347,8498.703947647984,2.238323424176091e+38
348,8484.642796538266,2.187191642564815e+38
349,8470.628097073397,2.1289154561595667e+38
350,8456.659619450318,2.0596872182973082e+38
351,8442.73713537929,1.9821191652994848e+38
352,8428.860418071477,1.895107951905372e+38
353,8415.029242226616,1.7999173893389213e+38
354,8401.243384020836,1.6967102749275533e+38
355,8387.502621094569,1.586716906964973e+38
356,8373.806732540612,1.4601985142553148e+38
357,8360.15549889228,1.3293103509326824e+38
358,8346.548702111677,1.1901384445873962e+38
359,8332.986125578102,1.2065058565889843e+38
360,8319.46755407654,1.2615264822226867e+38
361,8305.992773786287,1.149916749176132e+38
